Lutjanidae,Blackspot snapper  ,Lutjanus ehrenbergii,tembo/janja,
Lutjanidae,longtail red snapper  ,Etelis coruscans,Mdunji,
Lutjanidae,Dory snapper  ,Lutjanus fulviflamma,Tembo,important
Lutjanidae,Mangrove red snapper  ,Lutjanus argentimaculatus,Tembo kandaa,
Lutjanidae,Humpback red snapper ,Lutjanus gibbus,numba,
Monodactylidae,Silver moony   ,Monodactylus argenteus,Pepero,
Mugilidae,Fringelip mullet,Crenimugil crenilabis,Mkizi,
Mullidae,Red Sea goatfish ,Parupeneus forsskali,Kundaji,
Mullidae,Gold saddle goatfish    ,Parupeneus cyclostommus,Kundaji2,
Mullidae,Long barbell goatfish   ,Parupeneus macronema,Kundaji3,
Mullidae,Dash and dot goatfish  ,Parupeneus barberinus,Kundaji4,
Mullidae,Rosy goatfish   ,Parupeneus rubescens,Kundaji5,
Mullidae,Indian goatfish   ,Parupeneus indicus,Kundaji6,
Mullidae,Yellowstrip goatfish,Mulloidichthys vanicolensis,Kundaji7,
Mullidae,Freckled goatfish ,Upeneus tragula,Kundaji8,
Mullidae,Sidespot goatfish ,Parupeneus pleurostigma,Kundaji9,
Mullidae,Whitesaddle goatfish ,Parupeneus ciliatus,Kundaji10,
Nemipteridae,Delagoa threadfin bream,Nemipterus bipunctatus,Koana,
Nemipteridae,Japanese threadfin bream ,Nemipterus japonicus,Koana2,
Nemipteridae,Thumbprint monocle bream  ,Scolopsis bimaculata,Paragunda,
Nemipteridae,Arabian bream,Scolopsis ghanam,Kangamacho,
Nemipteridae,Whitecheek bream ,Scolopsis vosmeri,Kimweche,
Pomacanthidae,Semicircle angelfish ,Pomacanthus semicirculatus,Bangi Kukuu,
Priacanthidae,Moontail bullseye  ,Priacanthus hamrur,Gambahare/Banihare,
Priacanthidae,Hawaiian bigeye  ,Priacanthus meeki,Gambahare/Banihare2,
Psettodidae,Indian halibut      ,Psettodes erumei,Gayogayo,
Scaridae,Candelamoa parrotfish ,Hipposcarus harid,Pono/Chumumbu,
Scaridae,Blue barred parrotfish,Scarus ghobban,Pono3,
Scaridae,Candelamoa parrotfish ,Scarus rubroviolaceus,Pono mwekundu,
Scaridae,Carolines parrotfish ,Calotomus carolinus,Pono4,
Scaridae,Eclipse parrotfish ,Scarus russelii,Pono5,
Scaridae,Bridled  parrotfish ,Scarus frenatus,Pono6,
Scaridae,Pink margined parrotfish ,Chlorurus capistratoides,Pono7,
Scaridae,Marbled parrotfish,Leptoscarus vaigiensis,Pono8,
Scaridae,Marbled parrotfish,Leptoscarus vaigiensis,Pono manjano,
Scaridae,Spinytooth parrotfish ,Calotomus spinidens,Bodo,
Scaridae,Chameleon parrotfish ,Scarus chameleon,Pono9,
Scaridae,Common parrotfish ,Scarus psittacus,pono10,
Scaridae,Tricolour parrotfish ,Scarus tricolor,pono11,
Scombridae,Wahoo,Acanthocybium solandri,Pono12,
Scombridae,Yellowfin tuna,Thunnus albacares,Nguru,
Scombridae,Skipjack tuna,Katsuwonus pelamis,Jodari,
Scombridae,Kawakawa,Euthynnus affinis,Sehewa ,
Scombridae,Frigate tuna,Auxis thazard,Sehewa mweupe,
Scombridae,Kanadi kingfish,Scomberomorus plurilineatus,Zanuba,
Scombridae,Indian mackerel,Rastrelliger kanagurta,Nguru shebe,
Scombridae,Narrow barred mackerel,Scomberomorus commerson,Kibua/Una,
Scombridae,Areolate grouper,Epinephelus areolatus,Nguru ,
Scombridae,Foursaddle grouper,Epinephelus spilotoceps,Chewa/Tewa,
Scombridae,Coral hind,Cephalopholis miniata,Chewa2,
Scombridae,Darkfin hind,Cephalopholis nigripinnis,Chewa3,
Scombridae,Longspine grouper,Epinephelus longispinis,Chewa4,
Scombridae,Malabar grouper,Epinephelus malabaricus,Chewa5,
Scombridae,White edged lyretail,Variola albimarginata,Chewa6,
Scombridae,Slender grouper,Anyperodon leucogrammicus,Chewa7,
Scombridae,Bluespotted hind,Cephalopholis cyanostigma,Chewa8,
Scombridae,Orange spotted grouper,Epinephelus coioides,Chewa9,
Scombridae,Whitespotted grouper ,Epinephelus coeruleopunctatus,Chewa10,
Siganidae,Shoemaker spinefoot,Siganus sutor,Tasi,important
Siganidae,Streamlined spinefoot ,Siganus argenteus,Tasi2,
Siganidae,Dusky spinefoot,Siganus luridus,Tasi3,
Siganidae,Brown–spotted spinefoot,Siganus stellatus,Tasi uziwa,
Siganidae,White–spotted spinefoot    ,Siganus canaliculatus,Tasi4,
Sillaginidae,Silver sillago,Sillago sihama,Chelema weupe,
Sillaginidae,Bigeye barracuda  ,Sphyraena forsteri,Toa/msusa- Chebwa,
Sillaginidae,Sawtooth barracuda,Sphyraena flavicauda,Mzira boko/ mzia,
Sillaginidae,Sawtooth barracuda  ,Sphyraena putnamae,Mzira/Mzia,
Sillaginidae,Obtuse barracuda  ,Sphyraena obtusata,Toa/msusa,
Sillaginidae,Blackfin barracuda ,Sphyraena qenie,Mzira boko/ mzia,
Sillaginidae,Snakefish       ,Trachinocephalus myops,Bumbula/Rukia,
Sillaginidae,Fourlined terapon    ,Pelates quadrilineatus,,
Acanthuridae,Bignose unicornfish,Naso vlamingii,,
Lutjanidae,Onespot snapper,Lutjanus monostigma,,
Lutjanidae,Bengal snapper,Lutjanus bengalensis,Tembo uzi,
Lethrinidae,goldspot seabream,Gnathodentex aureolineatus,,
Lethrinidae,Orange-spotted emperor,Lethrinus erythracanthus,,
Lethrinidae,Longfin emperor,Lethrinus erythropterus,,
Leiognathidae,Robust ponyfish,Leiognathus robustus,,
Labridae ,Moon wrasse,Thalassoma lunare,,
Labridae ,Sunset wrasse,Thalassoma lutescens,,
Labridae ,Doublespot wrasse,Pseudocheilinus dispilus ,,
Labridae ,Gold-ring Dottyback,Pseudocoris hemichrysos,,
Labridae ,Mental wrasse,Oxycheilinus mentalis,,
Labridae ,Adorned wrasse,Halichoeres cosmetus,,
Labridae ,Bubblefin wrasse,Halichoeres dussumieri,,
Labridae ,Finescale razor fish,Cymolutes torquatus,,
Labridae ,Green birdmouth wrasse,Gomphosus caeruleus ,,
Labridae ,Blue wrasse,Frontilabrus caeruleus,,
Labridae ,Abudjubbe,Cheilinus abudjubbe,,
Labridae ,Natal wrasse,Anchichoerops natalensis,,
Lethrinidae,Ornate emperor,Lethrinus ornatus,,
Lethrinidae,Redsnout empero,Lethrinus reticulatus,,
Acanthuridae,Indian sail-fin surgeonfish,Zebrasoma desjardinii,,
Acanthuridae,Sleek unicorn,Naso hexacanthus,,
Acanthuridae,Pony unicornfish,Naso minor,,
Acanthuridae,Blue-spine unicornfish,Naso unicornis,,
Acanthuridae,Indian gold-ring bristel tooth,Ctenochaetus truncatus,,
Acanthuridae,White marhin unicorn,Naso annulatus,,
Acanthuridae,Brown tang/ Brown surgeonfish,Acanthurus nigrofuscus,,
Acanthuridae,Blackbarred surgeonfish,Acanthurus polyzona,,
Acanthuridae,Eyestripe surgeonfish,Acanthurus dussumieri,,
Acanthuridae,Black surgeonfish,Acanthurus gahhm,,
Acanthuridae,White spotted ,Acanthurus guttatus,,
Acanthuridae,Palelipped surgeonfish,Acanthurus leucocheilus,,
Acanthuridae,Powder blue surgeonfish,Acanthurus leucosternon,,
Acanthuridae,Lined surgeonfish,Acanthurus lineatus,,
Acanthuridae,White freckeled,Acanthurus maculiceps,,
Serranidae,Yellowfin hind,Cephalopholis hemistiktos,,
Serranidae,Vermilion hind,Cephalopholis aligosticta,,
Serranidae,Tomato hind,Cephalopholis sannerati,,
Kyphosidae,Brassy chub,Kyphosus vaigiensis,,
Holocentridae,Sychelles soldier,Myripristis  seychellensis,,
Holocentridae,Whitetip soldierfish,Myripristis vittata,,
Haemulidae,Lesson's thicklip,Plectorhinchus lessoni,,
Haemulidae,Sordid ruberlip,Plectorhinchus sordidus,,
Gerreidae,Longspine silverbiddy,Gerres macracanthus,,
Gerreidae,Mojarra,Gerres maldivensis,,
Gerreidae,Slender silverbiddy ,Gerres oblongus,,
Fistulariidae,Bluespotted cornetfish,Fistularia commersonii,,
Gerreidae,Strongspined silverbiddy,Gerres phaiya,,
Gerreidae,Longfin mojarra,Pentaprion longimanus,,
Carangidae,Black pomfret,Parastromateus niger,,
Carangidae,White trevally,Pseudocaranx dentex,,
Carangidae,Golden trevally,Gnathanodon speciosus,,
Carangidae,Tille trevally ,Caranx tille,,important
Carangidae,Bluefin trevally ,Caranx melampygus,,
Carangidae,Brassy trevally,Caranx papuensis,,
Carangidae,Bigeye trevally,Caranx sexfasciatus,,
Carangidae,Yellow spotted trevally,Carangoides fulvoguttatus,,
Carangidae,Bumpnose trevally   ,Carangoides hedlandensis,,
Carangidae,Malabar trevally,Carangoides malabaricus,,
Carangidae,Coachwhip trevally,Carangoides oblongus,,
Scaridae,Bluehead humphead parrotfish,Chlorurus cyanescens,Pono 14,
Scaridae,Sinai parrotfish,Chlorurus genazanatus,Pono 13,
Balistidae ,Yellowspotted triggerfish,Pseudobalistes fuscus,,
Balistidae ,Gilded triggerfish,Xanthichthys auromarginatus,,
Balistidae ,Starry triggerfish,Abalistes stellatus,,
Balistidae ,Redtooth triggerfish,Odonus niger,,
Balistidae ,Yellowmargin triggerfish,Pseudobalistes flavimarginatus,,
Monodactylidae,Full moony,Monodactylus falciformis,,
Mullidae,Darom's goatfish,Upeneus davidaromi,,
Mullidae,Indian mimic goatfish,Mulloidichthys ayliffe,,
Mullidae,Yellowstripe goatfish,Mulloidichthys flavolineatus,,
Mugilidae,Bluespot mullet,Moolgarda seheli,,
Mugilidae,Flathead grey  mullet ,Mugil cephalus ,,
Mugilidae,Freshwater mullet,Myxus capensis,,
Mugilidae,Hornlip mullet,Oedalechilus labiosus,,
Mugilidae,South African mullet,Chelon richardsonii,,
Mugilidae,Greenback mullet,Chelon subviridis,,
Carangidae,Indian pompano,Trachinotus mookale,,
Carangidae,Longrakered trevally,Ulua mentalis,,
Carangidae,Torpedo scad,Megalaspis cordyla,,
Tetraodontidae,Silver cheeked toadfish,Lagacephalus sceleratus,,
Tetraodontidae,Rippled blaasop,Pelagacephalus marki,,
Tetraodontidae,Blunthead puffer,Sphaeraides pachygaster,,
Tetraodontidae,Many-lined puffer,Arathran multilineatus,,
Tetraodontidae,Spiny blaasop,Tylerius spinosissimus,,
Tetraodontidae,Bluespotted blaasop,Chelanadantaps laticeps,,
Acanthuridae,Horseface unicorn,Naso fageni,,
Acanthuridae,Palette surgeon ,Paracanthurus hepatus,,
Scaridae,Roundhead parrotfish,Scarus viridifucatus,,
Serranidae,Blotched podge,Aporops bilinearis,,
Scombridae,Southern bluefin tuna,Thunnus maccoyii,,
Scombridae,Atlantic bluefin tuns,Thunnus thannus,,
Serranidae,Comber,Serranus knysnaensis,,
Balistidae ,Bluethroat triggerfish,Sufflamen albicaudatum,,
Nemipteridae,Whitecheek monocle bream ,Scolopsis vorsemi,,
Pomacanthidae,Zebra angelfish,Genicanthus caudovittatus,,
Pomacanthidae,Yellowfin angelfish,Centropyge flavipectoralis,,
Pomacanthidae,Reunion angelfish,Apolemichthys guezi,,
Pomacanthidae,Tiger angelfish,Apolemichthys Kingi,,
Pomacanthidae,Emperor angelfish,Pomacanthus imperator,,
Holocentridae,Straighthead soldierfish,Ostichthys archiepiscopus,,
Holocentridae,Yellowstriped squirrelfish,Neoniphon aurolineatus,,
Hemiramphidae ,Tropical halfbeak,Hyporhamphus affinis,,
Hemiramphidae ,Red sea halfbeak ,Hyporhamphus gamberur,,
Hemiramphidae ,Longtail garfish,Hyporhamphus quoyi,,
Haemulidae,Sailfin rubberlip,Diagramma centurio,,
Engraulidae,Orangemouth anchovy,Thryssa vitrirostris,,
Engraulidae,Whitehead's Thryssa ,Thryssa whiteheadi,,
Ephippidae,African spadefish,Tripterodon orbis,,
Ephippidae,Orbicular batfish,Platax orbicularis,,
Ephippidae,Golden spadefish,Platax boersii,,
Lutjanidae,Two-spot banded snapper ,Lutjanus biguttatus,,
Lethrinidae ,Mozambique large-eye bream,Wattsia mossambica,,
Lethrinidae ,Fork large-eye bream,Gymnocranius elongatus,,
Leiognathidae,Dussumier's ponyfish,Karalla dussumieri,,
Leiognathidae,Common ponyfish,Leiognathus equula,,
Leiognathidae,Twoblotch  ponyfish,Nuchequula blochii,,
Leiognathidae,Decorated ponyfish,Nuchequula gerreoides,,
Lutjanidae,Bigeye snapper,Lutjanus lutjanus,,
Serranidae,Chocolate hind,Cephalopholis boenak,,
Serranidae,Barred soapfish,Diploprion bifasciatum,,
Serranidae,Yellow-edged lyretail,Variola louti,,
Serranidae,Marble coral grouper,Plectropamus puncatus,,
Serranidae,Squaretail coralgrouper,Plectropamus areolatus,,
Serranidae,Greasy grouper,Epinephelus tauvina,,
Serranidae,Masked grouper ,Gracila albomarginata,,
Serranidae,Redmouth grouper ,Aethaloperca rogaa,,
Serranidae,Golden hind ,Cephalopholis aurantia,,
Serranidae,Striped fin grouper ,Epinephelus posteli,,
Serranidae,Honeycomb grouper,Epinephelus merra,,
Serranidae,Striped grouper,Epinephelus latifasciatus,,
Serranidae,Brownspotted,Epinephelus clarostigma,,
Serranidae,Shortbill spearfish,Tetrapturus angustirostris,,
Kyphosidae,Stone bream ,Neoscorpis lithophilus,,
Gerreidae,Mojarras,Gerres mozambiquensis,,
Nemipteridae,Yello-jaw threadfin,Nemipterus flavomandibularis,,
Nemipteridae,Notchedfin threadfin bream ,Nemipterus peronii,,
Hemiramphidae ,long billed half beak,Rhyncorhamphus georgii,,
Pomacanthidae,Blue ring angelfish,Pomacanthus annularis,,
Pomacanthidae,Arabian angelfish,Pomacanthus asfur,,
Haemulidae,Whitebarred rubberfish,Plectorhinchus playfairi,,
Haemulidae,Barred rubberlip,Plectorhinchus plagiodesmus,,
Haemulidae,Zebra sweetlip,Plectorhinchus paulayi,,
Tetraodontidae,Bellystriped blaasop,Arothron inconditus,,
Tetraodontidae,Bennett's sharpnose puffer,Canthigaster bennetti,,
Tetraodontidae,Aziz's toby,Canthigaster aziz,,
Carangidae,Snubnose pompano,Trachinotus blochii,,
Carangidae,Southern pompano,Trachinotus africanus,,
Carangidae,African scad,Trachurus delagoa,,
Carangidae,Arabian scad,Trachurus indicus,,
Carangidae,Atlantic horse mackarel,Trachurus trachurus,,
Mugilidae,Striped mullet,Chelon tricuspidens,,
Mugilidae,Bluetail mullet,Moolgarda buchanani,,
Mugilidae,Robust mullet,Moolgarda robustus,,
Mullidae,Heemstra goatfish,Upeneus heemstra,,
Carangidae,Shadow trevally,Carangoides dinema,,
Chaetodontidae,Somali butterflyfish,Chaetodon leucopleura,,
Lutjanidae,Black and white snapper,Macolor niger,,
Lutjanidae,Dirty ordure snapper ,Paracaesio sordida,,
Labridae ,Humphead wrasse ,Cheilinus undulatus,,
Labridae ,Goldbar wrasse,Thalassoma hebraicum,,
Lethrinidae,Redaxil emperor ,Lethrinus conchyliatus,,
Lutjanidae,Red emperor/snapper,Lutjanus sebae,,
Lutjanidae,Bluestriped snapper,Lutjanus notatus,,
Lutjanidae,Whitebelly snapper,Lutjanus octolineatus,,
Lutjanidae,Blubbersnapper,Lutjanus rivulatus,,
Serranidae,Blacktip grouper,Epinephelus fasciatus,,
Haemulidae,Olive grunt,Pomadasys olivaceus,,
Haemulidae,Bronzestriped grunt,Pomadasys taeniatus,,
Hemiramphidae ,Cape halfbeak,Hyporhampus capensis,,
Lutjanidae,Indian snapper,Lutjanus madra,,
Lutjanidae,Rusty jobfish,Aphareus rutilans,,
Labridae ,Blackeye thicklip,Hemigymnus melapterus,,
Labridae ,Giant hogfish,Bodianus macrognathos,,
Synodontidae,Lizardfishes,Trachinocephalus myops ,,
Unknown,Unknown,Unga ,,
Nemipteridae,Peters' monocle bream,Scolopsis affinis ,Mbalamwezi,
Unknown,Unknown,Sururu ,Sururu ,
Unknown,Unknown,Kimberere ,Kimberere ,
Unknown,Unknown,Twene ,Twene ,
Unknown,Unknown,chamumbu ,chamumbu ,
Unknown,Unknown,Fatundu ,Fatundu ,
Labridae ,Cigar wrasse,Cheilio inermis ,Mchaunda,
Labridae ,Queen coris,Coris formosa ,Rerebwa,
Labridae ,Goldbar wrasse,Thalassoma hebraicum  ,Rerebwa 2,
Unknown,Unknown,mboko ,mboko ,
Unknown,Unknown,Mbuzi mto,Mbuzi mto,
Unknown,Unknown,Mkonge ,Mkonge ,
Anguilliformes,Unknown,Mkunga ,Mkunga ,
Gerreidae,common silver belly ,Gerres subfasciatus ,Chilili,
Unknown,Unknown,Sandaza ,Sandaza ,
Lethrinidae,Unknown,Changu kibaku ,Changu kibaku ,
Unknown,Unknown,Mwavi ,Mwavi ,
Unknown,Unknown,chore ,chore ,
Unknown,Unknown,Gongeo ,Gongeo ,
Unknown,Unknown,Vumbaba ,Vumbaba ,
Unknown,Unknown,Chengo ,Chengo ,
Unknown,Unknown,Vyege ,Vyege ,
Unknown,Unknown,Kanga Macho ,Kanga Macho ,
Unknown,Unknown,Ninga ,Ninga ,
Unknown,Unknown,Nguwazi,Nguwazi,
Unknown,Unknown,Chana la ndizi ,Chana la ndizi ,
Unknown,Unknown,Kuwi ,Kuwi ,
Unknown,Unknown,Ufeda ,Ufeda ,
Unknown,Unknown,Mwewe kandaa ,Mwewe kandaa ,
Unknown,Unknown,Hubwi ,Hubwi ,
Unknown,Unknown,Ng'ogo ,Ng'ogo ,
Unknown,Unknown,Tiri macho ,Tiri macho ,
Unknown,Unknown,Sape ,Sape ,
Scaridae,Unknown,Scarus ghobban ,Pono mchele,
Scaridae,Unknown,Scarus ghobban ,Pono kifua,
Serranidae,Unknown,Chewa tumbo ,Chewa tumbo ,
Scaridae,Blue barred parrotfish,Scarus ghobban ,Pono mchele,
Scaridae,Blue barred parrotfish,Scarus ghobban ,Pono kifua,
Unknown,Unknown,Ndodozi biabu ,Ndodozi biabu ,
Unknown,Unknown,Tiri mwekundu ,Tiri mwekundu ,
Unknown,Unknown,Tiri mweusi ,Tiri mweusi ,
Unknown,Unknown,Tiri mweupe ,Tiri mweupe ,
Erythrinidae ,Trahira,Hoplias malabaricus  ,Tiri,
Scaridae,Unknown,Pono meno ,Pono meno ,
Unknown,Unknown,Mkonge bung ,Mkonge bung ,
Lutjanidae,Bengal Snapper,Lutjanus bengalensis ,Tembo uzi,
Lutjanidae,Unknown,Tembo kibaku ,Tembo kibaku ,
Unknown,Unknown,Shazo ,Shazo ,
Unknown,Unknown,Mkule ,Mkule ,
Unknown,Unknown,Bora ,Bora ,
Unknown,Unknown,Zikimshipi ,Zikimshipi ,
Carangidae,Unknown,Kolekole mrondoo ,Kolekole mrondoo ,
Lethrinidae,Pink ear emperor,Lethrinus lentjan ,Changu chomi,important
Unknown,Unknown,Chana ,Chana ,
Unknown,Unknown,Komba ,Komba ,
Lutjanidae,Hampback red snapper,Lutjanus gibbus ,,
Scorpaenidae,Scorpionfish,Scorpaena jacksoniensis ,Cheche,
Mullidae,Ochre-banded goatfish,Upeneus sundaicus,Sonyo,
Mullidae,Unknown,Kundaji mweupe ,Kundaji mweupe ,
Mullidae,Unknown,Kundaji kidoa ,Kundaji kidoa ,
Mullidae,Unknown,Kundaji mwekundu ,Kundaji mwekundu ,
Lethrinidae,Snubnose emperor,Lethrinus borbonicus ,Nyamvi,
Unknown,Unknown,Kifuu ,Kifuu ,
Unknown,Unknown,Toa ,Toa ,
Siganidae,Unknown,Tasi mweupe ,Tasi mweupe ,
Siganidae,Dusky spinefoot,Siganus luridus ,Tasi mweusi,
Serranidae,Chocolate hind,Cephalopholis boenak ,Kivumbi,
Unknown,Unknown,Paza ,Paza ,
Pomacentridae,Indo-Pacific sergeant,Abudefduf vaigiensis ,Kute,
Unknown,Unknown,Pepero ,Pepero ,
Unknown,Unknown,Mbono/kubu ,Mbono/kubu ,
Unknown,Unknown,Miurana ,Miurana ,
Unknown,Unknown,Mwayo ,Mwayo ,
Unknown,Unknown,Nbwege ,Nbwege ,
Unknown,Unknown,Kirimba ,Kirimba ,
Unknown,Unknown,Hazi ,Hazi ,
Balistidae ,Unknown,Kikande mweupe ,Kikande mweupe ,
Balistidae ,Unknown,Kikande mweusi ,Kikande mweusi ,
Balistidae ,White-banded triggerfish,Rhinecanthus aculeatus   ,Kundaji mwamba,
Lethrinidae,Unknown,Changu mweupe,Changu mweupe,
Unknown,Unknown,Kuku bahari,Kuku bahari,
Acanthuridae,Unknown,Kangaja ,Kangaja ,
Unknown,Unknown,Bunju,Bunju,
Serranidae,Black hamlet,Hypoplectrus nigricans ,Mwewe,
Unknown,Unknown,Ubwi ,Ubwi ,
Lutjanidae,Northern red snapper,Lutjanus campechanus ,Araki,
Unknown,Unknown,Machogodi ,Machogodi ,
Lutjanidae,Unknown,Tembo mahadhi ,Tembo mahadhi ,
Lutjanidae,Unknown,Tembo bato  ,Tembo bato  ,
Unknown,Unknown,Bamra,Bamra,
Unknown,Unknown,Mkupi,Mkupi,
Unknown,Unknown,Chaamji,Chaamji,
Lutjanidae,Spanish flag snapper,Lutjanus carponotatus ,Ngagu,
Pomacentridae,Twobar anemonefish,Amphiprion allardi ,Chichi,
Labridae ,Tarry hogfish,Bodianus bilunulatus ,Msumeno,
Unknown,Unknown,kifuu mweupe ,kifuu mweupe ,
Acanthuridae,Spotted unicornfish     ,Naso brevirostris ,Kifuu mkondo,
Lethrinidae,Unknown,Changu dizi ,Changu dizi ,
Unknown,Unknown,tungua mbeu ,tungua mbeu ,
Serranidae,Coral hind,Cephalopholis miniata ,chewa_mwekundu,
Paralichthyidae ,Gulf flounder,Paralichthys albigutta ,uwayo,
Unknown,Unknown,Chechele ,Chechele ,
Unknown,Unknown,Mchuanda ,Mchuanda ,
Lutjanidae,Unknown,Tembo kidoa ,Tembo kidoa ,
Unknown,Unknown,Bange manjano ,Bange manjano ,
Lutjanidae,Black and white snapper,Macolor niger ,kute_mweupe,
Lutjanidae,Black and white snapper,Macolor niger ,kunguru,
Pomacentridae,Threespot dascyllus,Dascyllus trimaculatus ,Paramawe,
Unknown,Unknown,Chalee/cheche mbawa ,Chalee/cheche mbawa ,
Scorpaenidae,Red scorpionfish,Scorpaena scrofa  ,Chale,
Unknown,Unknown,Una ,Una ,
Pomacentridae,Emperor angelfish,Pomacanthus imperator ,Masange,
Unknown,Unknown,helahela_ngozi ,helahela_ngozi ,
